Language Task Size Select_interval Select_size Actual_duration Model Metric Value Method
Korean asr 15 15 0 14.95 wav2vec2-large-xlsr-53 wer 1.0 al
Korean asr 15 15 0 14.95 wav2vec2-large-xlsr-53 cer 1.0 al
Korean asr 15 15 15 29.68 wav2vec2-large-xlsr-53 wer 0.9999843862224026 al
Korean asr 15 15 15 29.68 wav2vec2-large-xlsr-53 cer 0.9999713879306117 al
Korean asr 15 15 30 44.55 wav2vec2-large-xlsr-53 wer 0.9953783218311838 al
Korean asr 15 15 30 44.55 wav2vec2-large-xlsr-53 cer 0.9682855648022497 al
Korean asr 15 15 45 59.47 wav2vec2-large-xlsr-53 wer 0.9976423195827998 al
Korean asr 15 15 45 59.47 wav2vec2-large-xlsr-53 cer 0.9790764024001439 al
Korean asr 15 15 60 74.33 wav2vec2-large-xlsr-53 wer 0.9944727227305374 al
Korean asr 15 15 60 74.33 wav2vec2-large-xlsr-53 cer 0.9654202704249301 al
Korean asr 15 15 75 89.25 wav2vec2-large-xlsr-53 wer 0.9978452986915655 al
Korean asr 15 15 75 89.25 wav2vec2-large-xlsr-53 cer 0.9781322041103281 al
Korean asr 15 15 90 104.08 wav2vec2-large-xlsr-53 wer 0.9920682009805453 al
Korean asr 15 15 90 104.08 wav2vec2-large-xlsr-53 cer 0.948355214754018 al
Korean asr 15 15 105 119.02 wav2vec2-large-xlsr-53 wer 0.9883989632451675 al
Korean asr 15 15 105 119.02 wav2vec2-large-xlsr-53 cer 0.9335382502493338 al
Korean asr 15 15 120 134.01 wav2vec2-large-xlsr-53 wer 0.9779689598101364 al
Korean asr 15 15 120 134.01 wav2vec2-large-xlsr-53 cer 0.8781657211058973 al
Korean asr 15 15 135 148.89 wav2vec2-large-xlsr-53 wer 0.9850576148393342 al
Korean asr 15 15 135 148.89 wav2vec2-large-xlsr-53 cer 0.9030990958586074 al
Korean asr 15 15 150 163.7 wav2vec2-large-xlsr-53 wer 0.7500858757767854 al
Korean asr 15 15 150 163.7 wav2vec2-large-xlsr-53 cer 0.38898108333469583 al
Korean asr 15 15 165 178.69 wav2vec2-large-xlsr-53 wer 0.8773381631952034 al
Korean asr 15 15 165 178.69 wav2vec2-large-xlsr-53 cer 0.5689223877180648 al
